g_name,g_label,K,A_K,viewport_area
exp_neg_abs,exp(-|y|),15,15.0958,16.0
exp_neg_abs,exp(-|y|),20,14.782,16.0
exp_neg_abs,exp(-|y|),30,9.934062500000001,11.111111111111112
exp_neg_abs,exp(-|y|),50,3.448675,4.0
exp_neg_abs,exp(-|y|),70,1.7219196428571428,2.0408163265306123
exp_neg_abs,exp(-|y|),100,0.8237125,1.0
exp_neg_abs,exp(-|y|),150,0.35433333333333333,0.4444444444444444
exp_neg_abs,exp(-|y|),200,0.1863609375,0.25
exp_neg_abs,exp(-|y|),300,0.07505138888888888,0.1111111111111111
exp_neg_abs,exp(-|y|),500,0.024309500000000005,0.04000000000000001
exp_neg_abs,exp(-|y|),700,0.011694132653061224,0.02040816326530612
exp_neg_abs,exp(-|y|),1000,0.005434875000000001,0.010000000000000002
exp_neg_abs,exp(-|y|),1500,0.002288,0.0044444444444444444
exp_neg_abs,exp(-|y|),2000,0.0012434531250000002,0.0025000000000000005
exp_neg_abs,exp(-|y|),3000,0.0005271319444444444,0.0011111111111111111
exp_neg_abs,exp(-|y|),5000,0.00017971,0.0004
exp_neg_abs,exp(-|y|),7000,8.859821428571428e-05,0.0002040816326530612
exp_neg_abs,exp(-|y|),10000,4.182375e-05,0.0001
tanh_abs,tanh(|y|),2,1.04,16.0
tanh_abs,tanh(|y|),3,0.68,16.0
tanh_abs,tanh(|y|),5,0.4,16.0
tanh_abs,tanh(|y|),7,0.28,16.0
tanh_abs,tanh(|y|),10,0.2,16.0
tanh_abs,tanh(|y|),15,0.12,16.0
tanh_abs,tanh(|y|),20,0.08,16.0
tanh_abs,tanh(|y|),30,0.08,16.0
tanh_abs,tanh(|y|),50,0.04,16.0
tanh_abs,tanh(|y|),70,0.04,16.0
tanh_abs,tanh(|y|),100,0.0,16.0
tanh_abs,tanh(|y|),150,0.0,16.0
tanh_abs,tanh(|y|),200,0.0,16.0
tanh_abs,tanh(|y|),300,0.0,16.0
tanh_abs,tanh(|y|),500,0.0,16.0
tanh_abs,tanh(|y|),700,0.0,16.0
tanh_abs,tanh(|y|),1000,0.0,16.0
tanh_abs,tanh(|y|),1500,0.0,16.0
tanh_abs,tanh(|y|),2000,0.0,16.0
tanh_abs,tanh(|y|),3000,0.0,16.0
tanh_abs,tanh(|y|),5000,0.0,10.985605433061174
tanh_abs,tanh(|y|),7000,0.0,8.39308396773137
tanh_abs,tanh(|y|),10000,0.0,6.309573444801931
sigmoid_abs,sigmoid(|y|),2,0.0,16.0
sigmoid_abs,sigmoid(|y|),3,0.0,16.0
sigmoid_abs,sigmoid(|y|),5,0.0,16.0
sigmoid_abs,sigmoid(|y|),7,0.0,16.0
sigmoid_abs,sigmoid(|y|),10,0.0,16.0
sigmoid_abs,sigmoid(|y|),15,0.0,16.0
sigmoid_abs,sigmoid(|y|),20,0.0,16.0
sigmoid_abs,sigmoid(|y|),30,0.0,16.0
sigmoid_abs,sigmoid(|y|),50,0.0,16.0
sigmoid_abs,sigmoid(|y|),70,0.0,8.16326530612245
sigmoid_abs,sigmoid(|y|),100,0.0,4.0
sigmoid_abs,sigmoid(|y|),150,0.0,1.7777777777777777
sigmoid_abs,sigmoid(|y|),200,0.0,1.0
sigmoid_abs,sigmoid(|y|),300,0.0,0.4444444444444444
sigmoid_abs,sigmoid(|y|),500,0.0,0.16000000000000003
sigmoid_abs,sigmoid(|y|),700,0.0,0.08163265306122448
sigmoid_abs,sigmoid(|y|),1000,0.0,0.04000000000000001
sigmoid_abs,sigmoid(|y|),1500,0.0,0.017777777777777778
sigmoid_abs,sigmoid(|y|),2000,0.0,0.010000000000000002
sigmoid_abs,sigmoid(|y|),3000,0.0,0.0044444444444444444
sigmoid_abs,sigmoid(|y|),5000,0.0,0.0016
sigmoid_abs,sigmoid(|y|),7000,0.0,0.0008163265306122448
sigmoid_abs,sigmoid(|y|),10000,0.0,0.0004
