K,A_K,K_times_A_K,pred_sqrt_pi_R,pred_3_sqrt_pi_R,ratio_H1_no_3,ratio_H2_with_3,viewport_area,resolution,max_iter
5,0.4,2.0,88.6226925452758,265.8680776358274,0.022567583341910252,0.007522527780636752,16.0,800,400
7,0.28,1.9600000000000002,88.6226925452758,265.8680776358274,0.02211623167507205,0.007372077225024017,16.0,800,400
10,0.2,2.0,88.6226925452758,265.8680776358274,0.022567583341910252,0.007522527780636752,16.0,800,400
15,0.12,1.7999999999999998,88.6226925452758,265.8680776358274,0.020310825007719226,0.0067702750025730755,16.0,800,400
20,0.08,1.6,88.6226925452758,265.8680776358274,0.018054066673528203,0.006018022224509401,16.0,800,400
30,0.08,2.4,88.6226925452758,265.8680776358274,0.027081100010292302,0.009027033336764101,16.0,800,400
50,0.04,2.0,88.6226925452758,265.8680776358274,0.022567583341910252,0.007522527780636752,16.0,800,400
70,0.04,2.8000000000000003,88.6226925452758,265.8680776358274,0.03159461667867436,0.010531538892891453,16.0,800,400
100,0.027777777777777783,2.777777777777778,88.6226925452758,265.8680776358274,0.03134386575265313,0.010447955250884378,11.111111111111112,800,400
150,0.01234567901234568,1.851851851851852,88.6226925452758,265.8680776358274,0.020895910501768755,0.006965303500589585,4.938271604938272,800,400
200,0.006944444444444446,1.388888888888889,88.6226925452758,265.8680776358274,0.015671932876326566,0.005223977625442189,2.777777777777778,800,400
300,0.00308641975308642,0.925925925925926,88.6226925452758,265.8680776358274,0.010447955250884378,0.0034826517502947927,1.234567901234568,800,400
500,0.0011111111111111111,0.5555555555555556,88.6226925452758,265.8680776358274,0.006268773150530626,0.0020895910501768753,0.4444444444444444,800,400
700,0.0005668934240362812,0.39682539682539686,88.6226925452758,265.8680776358274,0.004477695107521876,0.0014925650358406253,0.22675736961451246,800,400
1000,0.0002777777777777778,0.2777777777777778,88.6226925452758,265.8680776358274,0.003134386575265313,0.0010447955250884376,0.1111111111111111,800,400
1500,0.0001234567901234568,0.1851851851851852,88.6226925452758,265.8680776358274,0.0020895910501768753,0.0006965303500589585,0.04938271604938271,800,400
2000,6.944444444444444e-05,0.1388888888888889,88.6226925452758,265.8680776358274,0.0015671932876326566,0.0005223977625442188,0.027777777777777776,800,400
3000,3.08641975308642e-05,0.0925925925925926,88.6226925452758,265.8680776358274,0.0010447955250884376,0.00034826517502947925,0.012345679012345678,800,400
5000,1.1111111111111112e-05,0.05555555555555556,88.6226925452758,265.8680776358274,0.0006268773150530626,0.00020895910501768754,0.0044444444444444444,800,400
7000,5.668934240362811e-06,0.03968253968253968,88.6226925452758,265.8680776358274,0.00044776951075218755,0.0001492565035840625,0.0022675736961451243,800,400
10000,2.777777777777778e-06,0.02777777777777778,88.6226925452758,265.8680776358274,0.0003134386575265313,0.00010447955250884377,0.0011111111111111111,800,400
